trial_id,offence_pp_general,offence_pp,pp_sentence_years,trial_month,trial_year,trial_place,pris_ht_pp,def_age_pp,def_literacy,def_religion_pp,marital_status_pp,children_nr,cash_sav_pp,occupation_pp,coloffence_info,offence_ni,death_in_custody_pp,length_of_stay_until_probat,length_of_stay_until_tl,previous_convictions
696455,ASSAULT,SHOOTING,99.0,1,1845,UNKNOWN,175.26,24.0,3.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,True,False,3.356164383561644,7.795890410958904,False
696456,STEALING,BURGLARY,10.0,2,1845,UNKNOWN,165.1,24.0,3.0,Protestant,S,2.0,48.0,UNKNOWN,False,True,False,3.0465753424657533,7.795890410958904,False
696457,SEXUAL,BESTIALITY,99.0,7,1844,CHELMSFORD ASSIZES,162.56,41.0,2.0,Protestant,M,2.0,48.0,CARPENTER,False,False,False,3.649315068493151,7.795890410958904,False
696458,STEALING,BURGLARY,10.0,9,1844,CENTRAL CRIMINAL COURT,157.48,27.0,3.0,Protestant,S,2.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696459,ASSAULT,MURDER,99.0,12,1844,UNKNOWN,157.48,26.0,2.0,Protestant,S,2.0,48.0,FARM LABOURER,False,True,True,3.6164383561643834,8.95890410958904,False
696460,STEALING,BURGLARY,20.0,7,1844,YORKSHIRE,165.1,40.0,0.0,Protestant,M,4.0,48.0,COLLIER,False,True,False,3.649315068493151,7.795890410958904,False
696461,STEALING,STEALING,10.0,3,1845,MAIDSTONE ASSIZES,162.56,24.0,0.0,Protestant,S,2.0,48.0,SHEPHERD,False,True,False,3.649315068493151,7.795890410958904,False
696462,ROBBERY,HIGHWAY_ROBBERY,15.0,10,1844,CENTRAL CRIMINAL COURT,170.18,23.0,1.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696463,STEALING,STEALING,10.0,12,1844,UNKNOWN,172.72,50.0,1.0,Protestant,W,2.0,48.0,FARM LABOURER,False,False,False,3.649315068493151,5.2027397260273975,False
696464,ASSAULT,ASSAULT,21.0,10,1844,SCOTLAND,165.1,42.0,3.0,Protestant,W,1.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696465,STEALING,STEALING,15.0,10,1844,CENTRAL CRIMINAL COURT,157.48,28.0,3.0,Protestant,S,2.0,48.0,TAILOR,False,True,False,3.649315068493151,5.545205479452055,False
696466,STEALING,BURGLARY,10.0,1,1845,UNKNOWN,154.94,22.0,3.0,Protestant,S,2.0,48.0,SHOEMAKER,False,True,False,3.649315068493151,5.2027397260273975,False
696467,ROBBERY,HIGHWAY_ROBBERY,20.0,2,1845,UNKNOWN,167.64,27.0,0.0,Protestant,S,2.0,108.0,LABOURER,False,True,False,2.8,8.378082191780821,False
696468,STEALING,BURGLARY,15.0,2,1845,UNKNOWN,162.56,30.0,2.0,Protestant,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696469,ASSAULT,ASSAULT,99.0,3,1845,UNKNOWN,165.1,30.0,3.0,Presbyterian,S,2.0,48.0,FARM LABOURER,False,False,False,3.649315068493151,7.795890410958904,False
